epoch,accuracy,loss,val_accuracy,val_loss
0,0.5095488429069519,1.1397945880889893,0.6109510064125061,1.0047876834869385
1,0.669249951839447,0.8414257764816284,0.6657060384750366,0.8375255465507507
2,0.7138112187385559,0.7268471121788025,0.6887608170509338,0.8099093437194824
3,0.7522833943367004,0.6537643074989319,0.7060518860816956,0.7674198150634766
4,0.7688901424407959,0.6023597717285156,0.7146974205970764,0.7835891246795654
5,0.7946305274963379,0.5460956692695618,0.7089337110519409,0.8109502792358398
6,0.8137282133102417,0.5022086501121521,0.6974063515663147,0.8141904473304749
7,0.8311652541160583,0.45709484815597534,0.7118155360221863,0.8348079919815063
8,0.8527539372444153,0.41057151556015015,0.6685879230499268,0.8614755868911743
9,0.8690838813781738,0.376872181892395,0.6916426420211792,0.8399479389190674
10,0.8865209221839905,0.32668358087539673,0.6714697480201721,0.8749189376831055
11,0.8931635618209839,0.3004084527492523,0.6974063515663147,0.906188428401947
12,0.898699164390564,0.2764406204223633,0.7002881765365601,0.9237256646156311
13,0.924439549446106,0.2363978922367096,0.6829971075057983,0.9781758189201355
14,0.9280376434326172,0.2147482931613922,0.6772334575653076,0.9969764947891235
15,0.9357874393463135,0.19439221918582916,0.6657060384750366,1.0239933729171753
16,0.9424301385879517,0.17422091960906982,0.6714697480201721,1.0896453857421875
17,0.9468585848808289,0.15702135860919952,0.6743515729904175,1.0671614408493042
18,0.9490727782249451,0.14484871923923492,0.6916426420211792,1.0163809061050415
19,0.9645723700523376,0.12056610733270645,0.6945244669914246,1.1297448873519897
20,0.9681705236434937,0.10865438729524612,0.6628242135047913,1.1351661682128906
21,0.9618045687675476,0.11685450375080109,0.6916426420211792,1.1991844177246094
22,0.975089967250824,0.08757702261209488,0.7002881765365601,1.2562116384506226
23,0.975089967250824,0.08852037787437439,0.6916426420211792,1.2366254329681396
24,0.9709382653236389,0.09320738166570663,0.6858789920806885,1.2343077659606934
