epoch,accuracy,loss,val_accuracy,val_loss
0,0.6645447015762329,0.9494593739509583,0.6743515729904175,0.8788045048713684
1,0.7990589737892151,0.5643925070762634,0.7060518860816956,0.7476359605789185
2,0.847771942615509,0.41411852836608887,0.6974063515663147,0.748440682888031
3,0.8771104216575623,0.3333078622817993,0.6829971075057983,0.7677544355392456
4,0.9039579033851624,0.27809834480285645,0.7002881765365601,0.8508117198944092
5,0.92084139585495,0.2333546131849289,0.6974063515663147,0.874319314956665
6,0.9352338910102844,0.1982892006635666,0.680115282535553,0.8873916268348694
7,0.94768887758255,0.1652921587228775,0.6858789920806885,0.9385775327682495
8,0.9568225741386414,0.14446698129177094,0.7002881765365601,1.0230177640914917
9,0.9620813727378845,0.13175632059574127,0.6916426420211792,1.067516803741455
10,0.9651259183883667,0.11602392047643661,0.6945244669914246,1.1594699621200562
11,0.9695543646812439,0.10881539434194565,0.6772334575653076,1.2008188962936401
12,0.973706066608429,0.09137468039989471,0.6974063515663147,1.1985834836959839
13,0.974259614944458,0.08532455563545227,0.6916426420211792,1.2468218803405762
14,0.9767506122589111,0.08133409172296524,0.7031700015068054,1.3382803201675415
15,0.9753667116165161,0.0755646601319313,0.6887608170509338,1.3281112909317017
16,0.9759202599525452,0.07846169173717499,0.6887608170509338,1.3720821142196655
17,0.9767506122589111,0.07497759908437729,0.6974063515663147,1.4017996788024902
18,0.975643515586853,0.07392696291208267,0.6916426420211792,1.4391961097717285
19,0.9767506122589111,0.06577110290527344,0.6887608170509338,1.4631909132003784
20,0.9792416095733643,0.06271152198314667,0.7031700015068054,1.499059796333313
21,0.9781345129013062,0.061786919832229614,0.6858789920806885,1.5340336561203003
22,0.9761970639228821,0.06099714711308479,0.6974063515663147,1.5324965715408325
23,0.9773041605949402,0.06060228869318962,0.680115282535553,1.5773950815200806
24,0.9784113168716431,0.05804048478603363,0.6945244669914246,1.5917384624481201
